#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000017 CALCULE LE 29/07/2026 A 10:07:15 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ,DRX,DRY,DRZ
RESU            ,FORC_NODA       , 1.00000E+00,           1,1       , 0.00000E+00, 0.00000E+00, 0.00000E+00, 6.63043E+05,-3.99991E+03, 4.14382E+02, 2.69193E+02,-4.13454E+02,-4.03003E+03
RESU            ,FORC_NODA       , 1.00000E+00,           1,2       , 3.00000E+00, 0.00000E+00, 0.00000E+00,-6.60729E+05, 5.24933E+04, 7.27485E+01,-3.48223E-10, 4.39286E-10, 8.29459E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,3       , 3.30000E+00, 3.00000E-01, 0.00000E+00,-1.19075E-07,-5.33407E+01,-1.80194E-10, 1.17052E-09, 1.59275E-10, 4.47471E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,4       , 3.30000E+00, 2.30000E+00, 0.00000E+00,-1.50432E-07,-4.69578E+04, 5.86230E-08, 2.08388E-10,-6.80416E-10, 2.36696E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,5       , 3.30000E+00, 2.60000E+00, 3.00000E-01,-2.67630E-07,-5.33407E+01,-6.29473E-07, 5.30918E-10, 1.46179E-09, 4.73683E-11
RESU            ,FORC_NODA       , 1.00000E+00,           1,6       , 3.30000E+00, 2.60000E+00, 2.30000E+00,-2.31466E+03,-5.47482E+02,-4.87131E+02,-5.59089E+02, 4.34789E+03,-1.54197E+01
RESU            ,FORC_NODA       , 1.00000E+00,           1,7       , 3.02941E+00, 1.44458E-03, 0.00000E+00,-1.19403E-08,-1.54760E+00, 3.71074E-09,-3.53907E-10, 5.68889E-10, 2.18188E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,8       , 3.05853E+00, 5.76442E-03, 0.00000E+00,-2.49565E-09,-1.54760E+00, 1.78989E-09, 2.48747E-10, 1.15961E-10,-1.74714E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,9       , 3.08709E+00, 1.29179E-02, 0.00000E+00,-3.06854E-08,-1.54760E+00,-4.41287E-09, 4.62705E-11,-1.08685E-10,-1.92540E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,10      , 3.11481E+00, 2.28361E-02, 0.00000E+00,-2.91102E-08,-1.54760E+00,-5.78439E-09,-2.56932E-11, 1.63595E-10, 1.49339E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,11      , 3.14142E+00, 3.54236E-02, 0.00000E+00, 1.20672E-08,-1.54760E+00, 1.01209E-08, 2.36014E-10, 1.55410E-10,-4.06999E-11
RESU            ,FORC_NODA       , 1.00000E+00,           1,12      , 3.16667E+00, 5.05591E-02, 0.00000E+00, 2.10894E-08,-1.54760E+00, 6.03541E-09, 3.86478E-10,-2.10662E-10,-7.53630E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,13      , 3.19032E+00, 6.80969E-02, 0.00000E+00, 2.49987E-07,-1.54760E+00, 2.02781E-08, 1.37703E-10, 3.03430E-10, 1.98543E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,14      , 3.21213E+00, 8.78680E-02, 0.00000E+00, 2.99915E-08,-1.54760E+00,-9.22228E-10,-7.74946E-10,-3.72097E-10, 1.19917E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,15      , 3.23190E+00, 1.09682E-01, 0.00000E+00,-1.88735E-07,-1.54760E+00,-8.66203E-09,-2.78533E-10, 3.04567E-10, 9.91349E-11
RESU            ,FORC_NODA       , 1.00000E+00,           1,16      , 3.24944E+00, 1.33329E-01, 0.00000E+00,-4.03725E-08,-1.54760E+00, 2.71393E-09, 8.79254E-10, 1.66665E-09, 9.53605E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,17      , 3.26458E+00, 1.58581E-01, 0.00000E+00, 4.00117E-07,-1.54760E+00,-1.04956E-08,-3.70164E-10, 4.01656E-10, 8.92669E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,18      , 3.27716E+00, 1.85195E-01, 0.00000E+00, 2.73317E-07,-1.54760E+00,-5.70162E-09,-5.56383E-10,-7.63634E-10,-3.22325E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,19      , 3.28708E+00, 2.12915E-01, 0.00000E+00, 9.94578E-08,-1.54760E+00,-8.12543E-09, 1.92813E-10, 1.35299E-09,-5.39330E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,20      , 3.29424E+00, 2.41473E-01, 0.00000E+00, 3.69258E-07,-1.54760E+00,-5.10045E-09, 3.11957E-10, 6.39830E-10,-4.61114E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,21      , 3.29856E+00, 2.70595E-01, 0.00000E+00,-1.70671E-08,-1.54760E+00, 1.40932E-09, 7.61702E-10,-1.13687E-10,-2.96495E-10
RESU            ,FORC_NODA       , 1.00000E+00,           1,22      , 3.30000E+00, 2.32941E+00, 1.44458E-03,-4.23597E-07,-1.54760E+00, 1.62134E-07, 8.67544E-10,-1.27102E-10, 1.77351E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,23      , 3.30000E+00, 2.35853E+00, 5.76442E-03, 5.71141E-07,-1.54760E+00,-2.19195E-07, 5.45356E-10,-7.75344E-11, 1.40369E-09
RESU            ,FORC_NODA       , 1.00000E+00,           1,24      , 3.30000E+00, 2.38709E+00, 1.29179E-02,-5.37631E-07,-1.54760E+00, 1.47376E-07,-1.94973E-10,-8.31164E-10, 1.35702E-09
