solver_name,study_id,result_state_id,load_case,entity_ref,element_id,element_end,node_id,fx,fy,fz,mx,my,mz,force_magnitude,moment_magnitude
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_bend_0,pipe_bend_0,n1,N1,-4675.9,33622.4,34270.4,-309.579,-5389.38,6549.85,48236.813107107315,8487.743573184867
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_bend_0,pipe_bend_0,n2,N2,-48160.1,-296.026,389.894,-980.694,3558.05,-3940.06,48162.58797795143,5398.662179441866
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_bend_1,pipe_bend_1,n1,N3,-907.438,-1997.39,-1250.78,-941.341,1117.78,47.4436,2525.3635667649914,1462.1237642080646
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_bend_1,pipe_bend_1,n2,N4,-526.304,-1082.65,-2191.45,-29.2104,726.022,328.929,2500.315985113881,797.5935550097932
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_str_0,pipe_str_0,n1,N0,-663043.0,-3065.62,-2479.6,-269.193,2640.94,-3225.65,663054.7234513486,4177.540769082811
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_str_0,pipe_str_0,n2,N1,-663043.0,-3400.16,-2814.13,-269.193,-5299.66,6473.02,663057.6899973957,8370.116421367686
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_str_1,pipe_str_1,n1,N2,-48104.5,-2028.07,-1217.34,-975.832,3520.47,-3974.86,48162.619372813395,5398.654381669936
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_str_1,pipe_str_1,n2,N3,-47789.1,-2028.07,-1217.34,-975.832,1085.8,81.2717,47847.60248341081,1462.1268144196283
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_str_2,pipe_str_2,n1,N4,-487.131,-1063.73,-2209.69,-15.4197,689.436,291.429,2500.3095848636426,748.6592197289032
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,element:pipe_str_2,pipe_str_2,n2,N5,-487.131,-1286.76,-1986.67,-15.4197,-3506.93,2641.92,2416.589662657068,4390.7330912329535
